,Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA,Category,Directory
0,2012,38.81960000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
1,2013,54.04360000000001,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
2,2014,75.4580241975742,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
3,2015,76.21501106941676,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
4,2016,76.9719979412593,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
5,2017,92.90685900746159,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
6,2018,110.68172434017805,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
7,2019,130.34574880241243,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
8,2020,135.8519088841044,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
9,2021,175.5366329442255,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
10,2022,201.1627652730024,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
11,2023,228.8762773113401,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
12,2024,258.72820873131,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
13,2025,290.76983956608063,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
14,2026,325.0518846747805,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
15,2027,361.62479116378546,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
16,2028,400.53985183912766,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
17,2029,441.84875811396483,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
18,2030,483.4122323650663,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
19,2031,531.8561003749721,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
20,2032,580.6589249186032,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
21,2033,632.0652090286907,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
22,2034,686.1288655187941,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
23,2035,742.9041102285768,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
24,2036,802.4447628638733,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
25,2037,864.8048614225211,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
26,2038,930.0395878579744,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
27,2039,998.2047477452737,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
28,2040,1068.7115528465317,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
29,2041,1143.5489723318615,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
30,2042,1220.8379714604034,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
31,2043,1301.2761937769415,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
32,2044,1384.9154814531662,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
33,2045,1471.8074451985358,,,,,,,,,,solarpvroof,drawdown-master/solution/solarpvroof/ad/ad_based_on_AMPERE_2014_GEM_E3_Reference.csv
