,VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low,Category,Directory
26,27,Luminous_Flux_Incandescent_Lamp,Luminous Flux - Incandescent Lamp,True,False,513.0,513.0,513.0,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
27,28,Luminous_Flux_Halogen_Lamp,Luminous Flux - Halogen Lamp,True,False,450.4,483.028821615253,417.77117838474703,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
28,29,Luminous_Flux_LFL_Linear_Fluorescent,Luminous Flux - LFL (Linear Fluorescent),True,False,2111.4,2654.188946092309,1568.6110539076903,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
29,30,Luminous_Flux_CFL_Compact_Fluorescent,Luminous Flux - CFL (Compact Fluorescent),True,False,522.5,522.5,522.5,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
30,31,Luminous_Efficacy_Incandescent_Lamp,Luminous Efficacy - Incandescent Lamp,True,False,13.5,16.74037034920393,10.25962965079607,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
31,32,Luminous_Efficacy_Halogen_Lamp,Luminous Efficacy - Halogen Lamp,True,False,21.52777777777777,27.746340689846612,15.309214865708938,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
32,33,Luminous_Efficacy_LFL_Linear_Fluorescent,Luminous Efficacy - LFL (Linear Fluorescent),True,False,80.388,95.1434117529807,65.63258824701934,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
33,34,Luminous_Efficacy_CFL_Compact_Fluorescent,Luminous Efficacy - CFL (Compact Fluorescent),True,False,60.9375,67.13446246156131,54.740537538438694,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
34,35,LED_Luminous_Flux,LED Luminous Flux,True,False,600.0,600.0,600.0,leds_residential,drawdown-master/solution/leds_residential/vma_data/VMA_info.csv
0,1,Current_Adoption,Current Adoption,True,False,15670.037319988645,15670.037319988645,15670.037319988645,ships,drawdown-master/solution/ships/vma_data/VMA_info.csv
1,2,CONVENTIONAL_First_Cost_per_Implementation_Unit_for_replaced_practices_technologies,CONVENTIONAL First Cost per Implementation Unit for replaced practices/technologies,True,False,7.0,7.0,7.0,ships,drawdown-master/solution/ships/vma_data/VMA_info.csv
